Initial Adjacency Matrix,Braess Adjacency Matrix,Amount of Traffic,Initial Average Travel Time,Braess Average Travel Time,Graph Spectrum,All Average Travel Time,Number of Nodes,Experiment Name
"{(0, 1): 71, (1, 2): 52, (1, 0): 27, (2, 3): 59, (2, 1): 55, (3, 4): 69, (3, 2): 67, (4, 3): 86}","{(0, 1): 71, (1, 2): 52, (1, 0): 27, (2, 3): 59, (2, 1): 55, (3, 4): 69, (3, 2): 67, (4, 3): 86}",1000,52.0,64.0,"[{(0, 1): 71, (1, 2): 52, (1, 0): 27, (2, 3): 59, (2, 1): 55, (3, 4): 69, (3, 2): 67, (4, 3): 86}
 {(0, 1): 71, (0, 3): 80, (0, 4): 19, (1, 2): 52, (1, 0): 27, (1, 4): 13, (2, 3): 59, (2, 1): 55, (2, 4): 20, (3, 4): 69, (3, 2): 67, (3, 0): 80, (4, 3): 86, (4, 1): 13, (4, 2): 20, (4, 0): 19}
 {(0, 1): 71, (0, 3): 80, (0, 4): 19, (0, 2): 91, (1, 2): 52, (1, 0): 27, (1, 4): 13, (2, 3): 59, (2, 1): 55, (2, 4): 20, (2, 0): 91, (3, 4): 69, (3, 2): 67, (3, 0): 80, (4, 3): 86, (4, 1): 13, (4, 2): 20, (4, 0): 19}]",[13. 91. 74.],5,test
"{(0, 1): 68, (1, 2): 87, (1, 0): 43, (2, 3): 94, (2, 1): 60, (3, 4): 13, (3, 2): 32, (4, 3): 32}","{(0, 1): 68, (1, 2): 87, (1, 0): 43, (2, 3): 94, (2, 1): 60, (3, 4): 13, (3, 2): 32, (4, 3): 32}",1000,52.0,64.0,"[{(0, 1): 68, (1, 2): 87, (1, 0): 43, (2, 3): 94, (2, 1): 60, (3, 4): 13, (3, 2): 32, (4, 3): 32}
 {(0, 1): 68, (0, 4): 61, (1, 2): 87, (1, 0): 43, (1, 4): 58, (2, 3): 94, (2, 1): 60, (3, 4): 13, (3, 2): 32, (4, 3): 32, (4, 0): 61, (4, 1): 58}
 {(0, 1): 68, (0, 4): 61, (0, 2): 89, (1, 2): 87, (1, 0): 43, (1, 4): 58, (2, 3): 94, (2, 1): 60, (2, 0): 89, (3, 4): 13, (3, 2): 32, (4, 3): 32, (4, 0): 61, (4, 1): 58}
 {(0, 1): 68, (0, 4): 61, (0, 2): 89, (0, 3): 24, (1, 2): 87, (1, 0): 43, (1, 4): 58, (2, 3): 94, (2, 1): 60, (2, 0): 89, (2, 4): 22, (3, 4): 13, (3, 2): 32, (3, 0): 24, (4, 3): 32, (4, 0): 61, (4, 1): 58, (4, 2): 22}
 {(0, 1): 68, (0, 4): 61, (0, 2): 89, (0, 3): 24, (1, 2): 87, (1, 0): 43, (1, 4): 58, (2, 3): 94, (2, 1): 60, (2, 0): 89, (2, 4): 22, (3, 4): 13, (3, 2): 32, (3, 0): 24, (4, 3): 32, (4, 0): 61, (4, 1): 58, (4, 2): 22}]",[77. 79. 83. 93. 94.],5,test1
"[[{(0, 1): 72, (1, 2): 57, (1, 0): 56, (2, 3): 32, (2, 1): 15, (3, 4): 89, (3, 2): 57, (4, 5): 98, (4, 3): 57, (5, 6): 46, (5, 4): 23, (6, 7): 34, (6, 5): 21, (7, 8): 60, (7, 6): 93, (8, 9): 42, (8, 7): 64, (9, 8): 12}]]","[[{(0, 1): 72, (1, 2): 57, (1, 0): 56, (2, 3): 32, (2, 1): 15, (3, 4): 89, (3, 2): 57, (4, 5): 98, (4, 3): 57, (5, 6): 46, (5, 4): 23, (6, 7): 34, (6, 5): 21, (7, 8): 60, (7, 6): 93, (8, 9): 42, (8, 7): 64, (9, 8): 12}]]",100,,,"[{(0, 1): 72, (1, 2): 57, (1, 0): 56, (2, 3): 32, (2, 1): 15, (3, 4): 89, (3, 2): 57, (4, 5): 98, (4, 3): 57, (5, 6): 46, (5, 4): 23, (6, 7): 34, (6, 5): 21, (7, 8): 60, (7, 6): 93, (8, 9): 42, (8, 7): 64, (9, 8): 12}]","[17300.0, 6183.584, 5583.095, 5446.778, 6280.642307692307, 7026.575, 7338.007777777778, 7461.617368421053, 7565.7005, 7654.5028571428575, 7718.67, 7774.525652173913, 7822.659166666666, 7864.9784, 7899.475, 7920.9307407407405]",10,100BOTS10NODES
"[[{(0, 1): 68, (1, 2): 84, (1, 0): 61, (2, 3): 13, (2, 1): 81, (3, 4): 78, (3, 2): 62, (4, 5): 38, (4, 3): 64, (5, 6): 51, (5, 4): 36, (6, 7): 47, (6, 5): 52, (7, 8): 17, (7, 6): 11, (8, 9): 30, (8, 7): 78, (9, 8): 32}]]","[[{(0, 1): 68, (1, 2): 84, (1, 0): 61, (2, 3): 13, (2, 1): 81, (3, 4): 78, (3, 2): 62, (4, 5): 38, (4, 3): 64, (5, 6): 51, (5, 4): 36, (6, 7): 47, (6, 5): 52, (7, 8): 17, (7, 6): 11, (8, 9): 30, (8, 7): 78, (9, 8): 32}]]",100,,,"[{(0, 1): 68, (1, 2): 84, (1, 0): 61, (2, 3): 13, (2, 1): 81, (3, 4): 78, (3, 2): 62, (4, 5): 38, (4, 3): 64, (5, 6): 51, (5, 4): 36, (6, 7): 47, (6, 5): 52, (7, 8): 17, (7, 6): 11, (8, 9): 30, (8, 7): 78, (9, 8): 32}]","[24400.0, 8832.768, 7006.06125, 6052.868181818182, 5745.7757142857145, 5545.512352941177, 5534.967, 5507.136363636364, 5492.497391304348, 5478.230416666666, 5448.235, 5434.7844444444445, 5419.6875, 5402.951379310345, 5385.347333333333, 5367.068064516129, 5347.8684375, 5327.542121212121, 5305.935882352941]",10,100BOTS10NODES2EXPERIMENT
